exchange_name,yahoo_finance_suffix
Abu Dhabi Securities Exchange,.AD
ASX - All Markets,.AX
Athens Exchange S.A. Cash Market,.AT
Bolsa De Madrid,.MC
Bolsa De Valores De Colombia,.CB
Bolsa Mexicana De Valores,.MX
Borsa Italiana,.MI
BSE Ltd,.BO
Budapest Stock Exchange,.BD
Bursa Malaysia,.KL
Deutsche Boerse Xetra,.DE
Dubai Financial Market,.DU
Egyptian Exchange,.CA
Euronext Amsterdam,.AS
Gretai Securities Market,.TWO
Hong Kong Exchanges And Clearing Ltd,.HK
Indonesia Stock Exchange,.JK
Irish Stock Exchange - All Market,.IR
Istanbul Stock Exchange,.IS
Johannesburg Stock Exchange,.JO
Korea Exchange (Kosdaq),.KQ
Korea Exchange (Stock Market),.KS
Kuwait Stock Exchange,.KW
London Stock Exchange,.L
NASDAQ,
Nasdaq Omx Helsinki Ltd.,.HE
Nasdaq Omx Nordic,.ST
National Stock Exchange Of India,.NS
New York Stock Exchange Inc.,
New Zealand Exchange Ltd,.NZ
NO MARKET (E.G. UNLISTED),
Nyse Euronext - Euronext Brussels,.BR
Nyse Euronext - Euronext Lisbon,.LS
Nyse Euronext - Euronext Paris,.PA
Omx Nordic Exchange Copenhagen A/S,.CO
Oslo Bors Asa,.OL
Philippine Stock Exchange Inc.,.PS
Prague Stock Exchange,.PR
Qatar Exchange,.QA
Santiago Stock Exchange,.SN
Saudi Stock Exchange,.SR
Shanghai Stock Exchange,.SS
Shenzhen Stock Exchange,.SZ
Singapore Exchange,.SI
SIX Swiss Exchange,.SW
Standard-Classica-Forts,
Stock Exchange Of Thailand,.BK
Taiwan Stock Exchange,.TW
Tel Aviv Stock Exchange,.TA
Tokyo Stock Exchange,.T
Toronto Stock Exchange,.TO
Warsaw Stock Exchange/Equities/Main Market,.WA
Wiener Boerse Ag,.VI
XBSP,.SA
Xetra,.DE
